Aleph_Number	RL_Number	EADID	URL	
002132143	RL.10341	trent-chomelaf	http://library.duke.edu/rubenstein/findingaids/trent-chomelaf/
002132144	RL.10342	trent-choulantludwig	http://library.duke.edu/rubenstein/findingaids/trent-choulantludwig/
001618140	RL.10343	trent-christiejohn	http://library.duke.edu/rubenstein/findingaids/trent-christiejohn/
002132145	RL.10344	trent-christiesamuela	http://library.duke.edu/rubenstein/findingaids/trent-christiesamuela/
002132146	RL.10345	trent-christisonrobertpapers	http://library.duke.edu/rubenstein/findingaids/trent-christisonrobertpapers/
002132147	RL.10346	trent-churchwilliamselby	http://library.duke.edu/rubenstein/findingaids/trent-churchwilliamselby/
002132148	RL.10347	trent-clarkandrewpapers	http://library.duke.edu/rubenstein/findingaids/trent-clarkandrewpapers/
002132160	RL.10348	trent-clarkearthur	http://library.duke.edu/rubenstein/findingaids/trent-clarkearthur/
002132161	RL.10349	trent-clarkecharlesmansfield	http://library.duke.edu/rubenstein/findingaids/trent-clarkecharlesmansfield/
002132149	RL.10350	trent-clarkjamespapers	http://library.duke.edu/rubenstein/findingaids/trent-clarkjamespapers/
002132159	RL.10351	trent-cleavelandparkerpapers	http://library.duke.edu/rubenstein/findingaids/trent-cleavelandparkerpapers/
002132162	RL.10352	trent-clinehenry	http://library.duke.edu/rubenstein/findingaids/trent-clinehenry/
002132163	RL.10353	trent-cloquetjulesdocument	http://library.duke.edu/rubenstein/findingaids/trent-cloquetjulesdocument/
002132164	RL.10354	trent-coatesbenjaminhornor	http://library.duke.edu/rubenstein/findingaids/trent-coatesbenjaminhornor/
002132165	RL.10355	trent-coatesreynelldocument	http://library.duke.edu/rubenstein/findingaids/trent-coatesreynelldocument/
002132175	RL.10356	trent-cochranjohnpapers	http://library.duke.edu/rubenstein/findingaids/trent-cochranjohnpapers/
002132167	RL.10357	trent-coffinnathaniel	http://library.duke.edu/rubenstein/findingaids/trent-coffinnathaniel/
002132172	RL.10358	trent-cogswellmasonfitch	http://library.duke.edu/rubenstein/findingaids/trent-cogswellmasonfitch/
002132166	RL.10359	trent-coldencadwallader	http://library.duke.edu/rubenstein/findingaids/trent-coldencadwallader/
002132168	RL.10705	trent-collegiummedicochirurgicumberlingermanydocument	http://library.duke.edu/rubenstein/findingaids/trent-collegiummedicochirurgicumberlingermanydocument/
002156030	RL.10360	trent-combegeorgepapers	http://library.duke.edu/rubenstein/findingaids/trent-combegeorgepapers/
002132170	RL.10361	trent-condictlewis	http://library.duke.edu/rubenstein/findingaids/trent-condictlewis/
002132169	RL.10362	trent-coneebenezerdocument	http://library.duke.edu/rubenstein/findingaids/trent-coneebenezerdocument/
002132171	RL.10363	trent-cookedmundapapers	http://library.duke.edu/rubenstein/findingaids/trent-cookedmundapapers/
002196573	RL.10364	trent-coolidgecalvin	http://library.duke.edu/rubenstein/findingaids/trent-coolidgecalvin/
001636222	RL.10365	trent-cooperastley	http://library.duke.edu/rubenstein/findingaids/trent-cooperastley/
002132173	RL.10366	trent-costejeanfrancois	http://library.duke.edu/rubenstein/findingaids/trent-costejeanfrancois/
002132174	RL.10367	trent-cotterilljosephmontagu	http://library.duke.edu/rubenstein/findingaids/trent-cotterilljosephmontagu/
001618141	RL.10368	trent-couchjohnw	http://library.duke.edu/rubenstein/findingaids/trent-couchjohnw/
002133837	RL.10369	trent-cowlesedward	http://library.duke.edu/rubenstein/findingaids/trent-cowlesedward/
001618142	RL.10370	trent-coxfa	http://library.duke.edu/rubenstein/findingaids/trent-coxfa/
002133838	RL.10371	trent-craigarchibald	http://library.duke.edu/rubenstein/findingaids/trent-craigarchibald/
002133839	RL.10372	trent-craikjamesdocument	http://library.duke.edu/rubenstein/findingaids/trent-craikjamesdocument/
002148007	RL.10373	trent-crammerwilliam	http://library.duke.edu/rubenstein/findingaids/trent-crammerwilliam/
001618143	RL.10374	trent-crilegeorgewashington	http://library.duke.edu/rubenstein/findingaids/trent-crilegeorgewashington/
002133840	RL.10375	trent-crosbydixidocument	http://library.duke.edu/rubenstein/findingaids/trent-crosbydixidocument/
001618144	RL.10376	trent-crummerleroypapers	http://library.duke.edu/rubenstein/findingaids/trent-crummerleroypapers/
001697293	RL.10377	trent-cruseronorcarveron	http://library.duke.edu/rubenstein/findingaids/trent-cruseronorcarveron/
